#options: 640x360 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=11 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1022 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.86 aq:21.16 tex:232107 mv:27106 misc:5891 imb:920 pmb:0 smb:0 d:- ref:;
in:3 out:1 type:P dur:2 cpbdur:2 q:31.34 aq:20.25 tex:4793 mv:746 misc:725 imb:25 pmb:140 smb:755 d:- ref:0 ;
in:1 out:2 type:B dur:2 cpbdur:2 q:31.34 aq:17.90 tex:70 mv:40 misc:178 imb:0 pmb:10 smb:910 d:- ref:0 ;
in:2 out:3 type:b dur:2 cpbdur:2 q:31.34 aq:19.45 tex:113 mv:54 misc:217 imb:0 pmb:16 smb:904 d:- ref:0 ;
in:7 out:4 type:P dur:2 cpbdur:2 q:31.03 aq:20.85 tex:15333 mv:806 misc:597 imb:37 pmb:96 smb:787 d:- ref:0 ;
in:5 out:5 type:B dur:2 cpbdur:2 q:31.19 aq:21.79 tex:1999 mv:261 misc:292 imb:5 pmb:34 smb:881 d:- ref:0 ;
in:4 out:6 type:b dur:2 cpbdur:2 q:31.26 aq:25.78 tex:1288 mv:136 misc:216 imb:0 pmb:27 smb:893 d:- ref:0 ;
in:6 out:7 type:b dur:2 cpbdur:2 q:31.11 aq:24.50 tex:1319 mv:288 misc:177 imb:1 pmb:28 smb:891 d:- ref:0 ;
in:11 out:8 type:P dur:2 cpbdur:2 q:30.61 aq:20.56 tex:15694 mv:516 misc:318 imb:16 pmb:46 smb:858 d:- ref:0 ;
in:9 out:9 type:B dur:2 cpbdur:2 q:30.82 aq:23.13 tex:1638 mv:230 misc:204 imb:3 pmb:27 smb:890 d:- ref:0 ;
in:8 out:10 type:b dur:2 cpbdur:2 q:30.93 aq:25.46 tex:873 mv:203 misc:172 imb:2 pmb:21 smb:897 d:- ref:0 ;
in:10 out:11 type:b dur:2 cpbdur:2 q:30.72 aq:22.38 tex:855 mv:252 misc:165 imb:0 pmb:24 smb:896 d:- ref:0 ;
in:13 out:12 type:P dur:2 cpbdur:2 q:34.61 aq:21.83 tex:5875 mv:360 misc:405 imb:13 pmb:41 smb:866 d:- ref:0 ;
in:12 out:13 type:b dur:2 cpbdur:2 q:32.61 aq:26.18 tex:1214 mv:315 misc:167 imb:1 pmb:24 smb:895 d:- ref:0 ;
in:15 out:14 type:P dur:2 cpbdur:2 q:34.38 aq:22.23 tex:4496 mv:385 misc:311 imb:11 pmb:34 smb:875 d:- ref:0 ;
in:14 out:15 type:b dur:2 cpbdur:2 q:34.50 aq:23.97 tex:557 mv:137 misc:170 imb:1 pmb:19 smb:900 d:- ref:0 ;
in:19 out:16 type:P dur:2 cpbdur:2 q:31.78 aq:23.43 tex:12986 mv:664 misc:494 imb:17 pmb:97 smb:806 d:- ref:0 ;
in:17 out:17 type:B dur:2 cpbdur:2 q:33.08 aq:22.90 tex:2075 mv:315 misc:194 imb:1 pmb:29 smb:890 d:- ref:0 ;
in:16 out:18 type:b dur:2 cpbdur:2 q:33.73 aq:24.26 tex:1257 mv:275 misc:164 imb:1 pmb:27 smb:892 d:- ref:0 ;
in:18 out:19 type:b dur:2 cpbdur:2 q:32.43 aq:26.41 tex:503 mv:238 misc:147 imb:1 pmb:20 smb:899 d:- ref:0 ;
in:23 out:20 type:P dur:2 cpbdur:2 q:27.89 aq:22.26 tex:32267 mv:1066 misc:947 imb:30 pmb:340 smb:550 d:- ref:0 ;
in:21 out:21 type:B dur:2 cpbdur:2 q:29.84 aq:23.23 tex:2290 mv:215 misc:215 imb:0 pmb:30 smb:890 d:- ref:0 ;
in:20 out:22 type:b dur:2 cpbdur:2 q:30.81 aq:25.68 tex:1309 mv:146 misc:153 imb:0 pmb:23 smb:897 d:- ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:28.87 aq:24.92 tex:2679 mv:369 misc:160 imb:2 pmb:23 smb:895 d:- ref:0 ;
in:27 out:24 type:P dur:2 cpbdur:2 q:24.93 aq:21.14 tex:51696 mv:1554 misc:942 imb:47 pmb:549 smb:324 d:- ref:0 ;
in:25 out:25 type:B dur:2 cpbdur:2 q:26.41 aq:22.62 tex:3732 mv:408 misc:428 imb:0 pmb:73 smb:847 d:- ref:0 ;
in:24 out:26 type:b dur:2 cpbdur:2 q:27.15 aq:19.79 tex:2216 mv:259 misc:349 imb:4 pmb:46 smb:870 d:- ref:0 ;
in:26 out:27 type:b dur:2 cpbdur:2 q:25.67 aq:20.02 tex:3712 mv:363 misc:277 imb:1 pmb:42 smb:877 d:- ref:0 ;
in:31 out:28 type:P dur:2 cpbdur:2 q:23.10 aq:17.00 tex:20472 mv:438 misc:490 imb:26 pmb:72 smb:822 d:- ref:0 ;
in:29 out:29 type:B dur:2 cpbdur:2 q:24.01 aq:16.56 tex:4972 mv:243 misc:305 imb:2 pmb:41 smb:877 d:- ref:0 ;
in:28 out:30 type:b dur:2 cpbdur:2 q:24.47 aq:19.24 tex:2010 mv:277 misc:249 imb:0 pmb:32 smb:888 d:- ref:0 ;
in:30 out:31 type:b dur:2 cpbdur:2 q:23.55 aq:18.46 tex:3738 mv:324 misc:266 imb:0 pmb:42 smb:878 d:- ref:0 ;
in:32 out:32 type:I dur:2 cpbdur:2 q:25.81 aq:17.65 tex:298958 mv:30021 misc:413 imb:920 pmb:0 smb:0 d:- ref:;
in:36 out:33 type:P dur:2 cpbdur:2 q:23.78 aq:16.32 tex:74428 mv:1970 misc:698 imb:87 pmb:649 smb:184 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:23.78 aq:19.02 tex:5637 mv:721 misc:738 imb:7 pmb:176 smb:737 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:23.78 aq:17.79 tex:1939 mv:544 misc:509 imb:3 pmb:94 smb:823 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:23.78 aq:19.47 tex:3312 mv:360 misc:424 imb:0 pmb:73 smb:847 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:23.16 aq:15.53 tex:39869 mv:1334 misc:1005 imb:41 pmb:315 smb:564 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:23.47 aq:17.99 tex:3048 mv:338 misc:478 imb:1 pmb:78 smb:841 d:- ref:0 ;
